Article identifier,Rumor or Deal Number,Text,Timestamp,Article Header,Rumor or Deal,Target1,Target2,Acquirer1,Acquirer2,Acquirer3,Acquirer4,Bullish/Bearish for the target (0 or 1),Bearish/Bullish for the acquirer (0 or 1),Announcement Date (if different from Article date),Notes
ba90,1,"Valeant Pharmaceuticals International, Inc. (NYSE: VRX) announced it will acquire Synergetics USA, Inc. (NASDAQ: SURG) for $6.50 per share in cash in an upfront payment. Additionally, Synergetics shareholders will receive additional cash payments of up to $1.00 per share if specified sales milestones are achieved following the closing. The transaction is expected to close in Q4 of 2015.Valeant closed at $232.18 on Wednesday, a gain of 3.5%. JBT to Acquire A&B Process Systems for $102M",9/2/2015 18:55:00,"Benzinga's M&A Chatter for Wednesday September 2, 2015",The Deal:,SURG,,VRX,,,,,,,
ba90,2,"JBT Corporation (NYSE: JBT) announced Wednesday, signing of a definitive agreement to acquire the shares of A&B Process Systems for $102 million. The transaction is expected to close in Q4 of 2015.JBT closed at $34.13 Wednesday, up 6.5%.Rapac Communications Informed by RR Media of Approach With Non-Binding Preliminary Indication Of Interest in AcquisitonThe Preliminary Interest:RR Media shareholder Rapac Communication and Infrastructure Ltd. (Rapac), following a publication in Israel's Globes, that it was informed by RR Media that RR Media was approached by an international corporation, mentioned by the publication as SES, with a non-binding preliminary indication of interest for the acquisition of RR Media. The interest is at a preliminary stage, there is no agreement on the terms of the transaction and no guarantee of a binding agreement.RR Media shares closed at $8.22 Wednesday, a gain of 6%.Lannett to Acquire Kremers Urban Pharmaceuticals for $1.23B",9/2/2015 18:55:00,"Benzinga's M&A Chatter for Wednesday September 2, 2015",The Deal:,,,JBT,,,,,,,
ba90,3,"Lannett Company, Inc. (NYSE: LCI) announced Wednesday, that it has signed a definitive agreement to purchase Kremers Urban Pharmaceuticals for $1.23 billion, plus potential contingency payments. The transaction is expected to close in Q4 of calendar 2015.Lannett shares closed at $49.48 Wednesday, and rose 23% after-hours.Posted-In: News Rumors M&A After-Hours Center Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",9/2/2015 18:55:00,"Benzinga's M&A Chatter for Wednesday September 2, 2015",The Rumor:,,,LCI,,,,,,,
Dw46,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday September 1, 2015:MSA Safety to Acquire Latchways for £11/Share",9/1/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday September 1, 2015",NA,,,,,,,,,,
Dw46,1,"Global safety equipment manufacturer MSA Safety Incorporated (MSA) today announced the terms of a proposed cash acquisition of United Kingdom-based Latchways plc (LTC.L), a provider of innovative fall protection systems and solutions, for £11 per share. The Proposed acquisition is valued at approximately £124 million, or $191 million.This acquisition is expected to close in October.MSA Safety closed at $44.39 on Tuesday, a loss of almost 2.5%. Whirlpool Confirms has Approached AGA Rangemaster Regarding Possible OfferThe Confirmation:Whirlpool (NYSE: WHR) confirmed Tuesday, that it has made an approach regarding a possible offer for AGA Rangemaster. Whirlpool said no formal offer has been made. Whirlpool closed at $160.20 Tuesday, down 4.7%.Xerox Acquires inVentiv Patient Access Solutions",9/1/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday September 1, 2015",The Deal:,LTC.L,,MSA,,,,,,,
Dw46,2,"Xerox (NYSE: XRX) and inVentiv Health today announced Xerox's acquisition of inVentiv Patient Access Solutions (iPAS), an inVentiv Health company. Terms were not disclosed.Xeronx shares closed at $9.78 Tuesday, down almost 4%.Hearing Unconfirmed Market Chatter of Potential Athene Bid for HRG",9/1/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday September 1, 2015",The Deal:,,,XRX,,,,,,,
Dw46,3,"Shares of HRG Group, Inc. (NYSE: HRG) spiked higher Tuesday, on unconfirmed market chatter of a potential offer from Bermuda-based insurance holding company, Athene. HRG shares reached a high of $13.22 for the dayA spokesperson for Athene declined comment on the rumor. HRG did not respond to a request for comment.HRG closed at $12.88 Tuesday, unchanged.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",9/1/2015 19:20:00,"Benzinga's M&A Chatter for Tuesday September 1, 2015",The Rumor:,HRG,,,,,,,,,
Vo57,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday August 31, 2015:Perrigo Acquires ScarAway; Terms Not Disclosed",8/31/2015 20:10:00,"Benzinga's M&A Chatter for Monday August 31, 2015",NA,,,,,,,,,,
Vo57,1,"Perrigo Company plc (NYSE: PRGO) announced Monday that it has acquired OTC scar management brand, ScarAway, from Enaltus, LLC. Terms were not disclosed. The brand is expected to generate approximately $3 million in sales for the remainder of 2015.Perrigo closed at $182.97 on Monday, a loss of 1.32%. HealthSouth Acquires CareSouth Home Health for $170M Cash",8/31/2015 20:10:00,"Benzinga's M&A Chatter for Monday August 31, 2015",The Deal:,,,PRGO,,,,,,,
Vo57,2,"HealthSouth Corporation (NYSE: HLS) announced Monday, its Encompass Home Health operating unit has agreed to acquire the home health agency operations of CareSouth Health System, Inc. for $170 million in cash. The transaction is expected to close in Q4 of 2015, HealthSouth closed at $42.70 Monday, down 1.5%.Amicus Therapeutics to Acquire Rare Disease Company for $229M in Cash, Stock",8/31/2015 20:10:00,"Benzinga's M&A Chatter for Monday August 31, 2015",The Deal:,,,HLS,,,,,,,
Vo57,3,"Amicus Therapeutics (NASDAQ: FOLD) and privately-held Scioderm, Inc. announced Monday, that they have signed a definitive agreement under which Amicus will acquire 100% of the capital stock of Scioderm, Inc. for $229 million in cash and stock. Amicus will pay Scioderm shareholders $125 million in cash and $104 million in newly issued Amicus shares, plus up to an additional $361 million to Scioderm shareholders upon achievement of certain clinical and regulatory and $257 million to Scioderm shareholders in cash upon achievement of certain sales milestones. The deal is expected to close in Q3 of 2015.Amicus shares closed at $14.38 Monday, down 3.3%.Kang Announces Receipt of Preliminary Non-Binding ""Going Private"" ProposalThe Going Private Proposal:iKang Healthcare Group, Inc. (NASDAQ: KANG) announced Monday, that its board of directors has received a non-binding proposal letter, dated August 31, 2015, from Chairman and CEO Ligang Zhang and certain of his affiliated entities, and FV Investment Holdings, proposing a ""going-private"" transaction to acquire all of the outstanding Class A common shares and ADSs of the Company not already owned by the Buyer Group, for $17.80 per ADS in cash.The Board intends to form a special committee consisting of independent directors to consider this proposal.iKang shares closed at $15.72 Monday, a loss of 2%.Hearing Rumored Bids from Western Digital, Seagate for SanDisk",8/31/2015 20:10:00,"Benzinga's M&A Chatter for Monday August 31, 2015",The Deal:,,,FOLD,,,,,,,
Vo57,4,"Shares of SanDisk (NASDAQ: SNDK) rose Monday on unconfirmed market chatter, that the company has hired an advisor, following approaches from Western Digital (NASDAQ: WDC) and Seagate (NASDAQ: STX). The advisor is rumored to be Goldman Sachs.SanDisk declined comment on the rumor, while Western Digital and Seagate did not respond to requests for comment.SanDisk shares closed at $54.56 Monday, a gain of more than 4%.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/31/2015 20:10:00,"Benzinga's M&A Chatter for Monday August 31, 2015",The Rumor:,SNDK,,WDC,STX,,,,,,
Hw31,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday August 28 through Sunday August 30, 2015:China's Unigroup Chairman Meeting With Micron Board Members Regarding Bid",8/30/2015 20:30:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
Hw31,1,"China's Tsinghua Unigroup chairman, Zhao Weiguo, has reportedly traveled to the United States to meet with Micron Technology (NASDAQ: MU) board members, to discuss a potential takeover bid, according to souces as reported by Reuters. Mr. Zhao is also attempting to deal with US national security concerns by meeting with experts in the field. Senator Schumer has called for the deal to be blocked, as Micron chips are used in U.S. weapons systems.Micron rejected a $23 billion offer in July from Tsinghua Unigroup.Representatives from Micron and Tsinghua did not immediately respond to requests for comment.Micron closed at $15.96 on Friday, a gain of almost 2%. Mylan Shareholders Approve Perrigo Proposed AcquisitionThe Shareholder Approval:Mylan N.V. (NYSE: MYL) announced Friday, that its shareholders approved the co's proposed acquisition of Perrigo Company plc (NYSE: PRGO). Two-thirds of the votes cast were in favor of the deal.Perrigo responded, stating they were confident that most shareholders believe Mylan's unsolicited offer substantially undervalues Perrigo and would reject the proposal.Perrigo 1.5% Friday, closing at $185.42. Mylan fell 2%, closing at $50.37.Investors May Slash $77/Share Qihoo 360 Bid",8/30/2015 20:30:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
Hw31,2,"The group of investors who bid $77.00 per share for Qihoo 360 Technology in June, may cut its offer following the recent selloff in the Chinese stock market, according to sources, as reported by the Wall Street Journal. Qihoo 360 announced receipt of the preliminary non-binding $9 billion offer on Jun 17.Qihoo 360 said in June it had received a buyout offer from chief executive and some investors for $77.00 in cash per ADSQihoo 360 shares closed at $52.66 Friday, a up 2.5%. Shares had traded down 2.5% in the premarket.Ariad Said to be in Takeover Talks With Baxalta",8/30/2015 20:30:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,,,,,,,,
Hw31,3,"Shares of Ariad Pharmaceuticals Inc. (NASDAQ: ARIA) soared higher Friday, on a report from the Boston Globe that the biotech company was in talks to sell itself to Baxlata, Inc. (NYSE: BXLT), according to sources. An acqusition of Ariad and its leukemia drug Iclusing, is seen as an attempt for Baxalta to fight off a takeover by Shire PLC (NASDAQ: SHPG). Baxalta rejected a $45.23 per share all-stock offer from Shire on August 4, saying the proposal was ""not a basis for further discussions.""Aria shares closed at $9.89 Friday, a gain of more than 41% on 10 times average volume.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/30/2015 20:30:00,Benzinga's Weekend M&A Chatter,The Rumor:,ARIA,,BXLT,,,,,,,
uI17,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday August 27, 2015:Hearing FT Reporting Abbott Has Readied an Up to $25B Bid for St. Jude Medical",8/27/2015 19:15:00,"Benzinga's M&A Chatter for Thursday August 27, 2015",NA,,,,,,,,,,
uI17,1,"Shares of St. Jude Medical (NYSE: STJ) spiked sharply higher in the premarket Thursday, on a report from Financial Times that Abbott Laboratories (NYSE: ABT) was preparing a $25 billion bid for the medical device maker. The publication said Abbott has been working with advisors to help line up financing.An Abbott spokesperson later denied to company was planning to make an offer for St. Jude. St. Jude closed at $72.43 on Thursday, up 4.5%. Hearing Unconfirmed Market Chatter of Gilead Deal to Acquire BMY",8/27/2015 19:15:00,"Benzinga's M&A Chatter for Thursday August 27, 2015",The Rumor:,STJ,,ABT,,,,,,,
uI17,2,"Shares of Bristol-Myers Squibb (NYSE: BMY) Rosed Thursday, on unconfirmed market of chatter of a potential bid from Gilead Sciences (NASDAQ: GILD). According to sources, a deal could be reached as early as this weekend.Spokespersons for Bristol-Myers and Gilead did not respond to requests for comment.Bristol Myers rose more than 1% Thursday, closing at $60.82.Hearing Unconfirmed Market Chatter of PE Interest in Pandora, $26.50/Share",8/27/2015 19:15:00,"Benzinga's M&A Chatter for Thursday August 27, 2015",The Rumor:,BMY,,GILD,,,,,,,
uI17,3,"Pandora (NYSE: P) spiked higher Thursday, on unconfirmed market chatter of potential private equity interest. According to sources, the offer is $26.50 per share and the music streaming service has reportedly hired Morgan Stanley as an advisor.Pandora did not respond to a request for a comment on the rumor.Pandora shares closed at $17.49 Thursday, a loss of $0.15.Autodesk to Acquire SeeControl",8/27/2015 19:15:00,"Benzinga's M&A Chatter for Thursday August 27, 2015",The Rumor:,,,,,,,,,,
uI17,4,"Autodesk, Inc. (NASDAQ: ADSK) announced Thursday, that is has signed an agreement to acquire the developer of an enterprise Internet of Things cloud service platform, SeeControl. Terms were not disclosed.The deal is expected to close during Autodesk's fiscal quarter ending October 31, 2015.Autodesk shares closed at $50.00 Thursday, and fell 5% after-hours.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/27/2015 19:15:00,"Benzinga's M&A Chatter for Thursday August 27, 2015",The Deal:,,,ADSK,,,,,,,
bS84,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Wednesday August 26, 2015:Schlumberger to Acquire Cameron for $66.36/Share in Cash, Stock",8/26/2015 19:25:00,"Benzinga's M&A Chatter for Wednesday August 26, 2015",NA,,,,,,,,,,
bS84,1,"Schlumberger Limited (NYSE: SLB) and Cameron (NYSE: CAM) announced Wednesday, a definitive merger agreement in which the companies will combine in a stock and cash transaction, valued at 14.8 billion. Cameron shareholders will receive 0.716 shares of Schlumberger common stock and a cash payment of $14.44, valued at $66.36 per share.The deal is expected to close in Q1 of 2106. Cameron closed at $59.93 on Wednesday, up 41%. Schlumberger closed at $70.89, down more than 3%.Monsanto Withdraws Bid for SyngentaThe Withdrawn Offer:Monsanto Company (NYSE: MON) announced Wednesday, that is withdrawing its bid to acquire Syngenta (NYSE: SYN), after Syngenta communicated that Monsanto's enhanced proposal did not meet Syngenta's financial expectations. Monsanto confirmed that its new proposal increased the cash component of the proposed transaction to CHF 245 per share, with a total offer of CHF 470 per share.Syngenta's Board confirmed that it received a verbal proposal from Monsanto to acquire the company at a price of CHF 245 in cash and a fixed ratio of 2.229 Monsanto shares per Syngenta share. Syngenta's Board rejected the revised proposal, said it significantly undervalued the company and was fraught with execution risk. Syngenta fell 13.5% Wednesday, closing at $67.51.NQ Mobile Enters Into Binding Agreement to sell FL Mobile, NationSkyThe Deals:NQ Mobile Inc. (NYSE: NQ) announced Wednesday, it has entered into a legally binding framework agreement with Beijing Jinxing Rongda Investment Management Co. Ltd., a subsidiary of Tsinghua Holdings Co., Ltd and an independent third party, to sell the Company's entire stake in FL Mobile Inc., for no less than $626 million.NQ Mobile also announed it has entered into legally binding share purchase agreements, which provide for the sale of all of NQ Mobile's interest in the NationSky business to Mr. Hou Shuli, a founder and senior management member of Beijing NationSky, for an aggregate consideration of US $80 million cash.NQ shares closed at $3.03 Wednesday, and traded as high as $4.13 after-hours.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/26/2015 19:25:00,"Benzinga's M&A Chatter for Wednesday August 26, 2015",The Deal:,,,,,,,,,,
jg68,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Tuesday August 25, 2015:D.C. Public Service Commission Votes Down Pepco-Excelon Merger",8/25/2015 19:08:00,"Benzinga's M&A Chatter for Tuesday, August 25, 2015",NA,,,,,,,,,,
jg68,1,"The Public Service Commission of the District of Columbia voted Tuesday, to deny an application for acquisition of Pepco Holdings, Inc. (NYSE: POM) by Exelon Corporation as not being in the public interest. Pepco and Exelon have 30 days to ask the Commission to reconsider its decision.Pepco and Excelon issued a joint statement: ""We are disappointed with the Commission's decision and believe it fails to recognize the benefits of the merger to the District of Columbia and its residents and businesses. We continue to believe our proposal is in the public interest and provides direct immediate and long-term benefits to customers, enhances reliability and preserves our role as a community partner. We will review our options with respect to this decision and will respond once that process is complete."" The merger application has been approved in Virginia, New Jersey, Delaware, Maryland, and by the Federal Energy Regulatory Commission. Only the District of Columbia has denied the application. Pepco closed at $22.51 on Tuesday, down 16.5%. Excelon closed at $30.40, down almost 7%.Syngenta Investor Says Would Tender Shares at CHF 470/ShareThe Shareholder Comments:Guillaume Delorme, fund manager for Oddo Asset Management, which holds a 0.16% stake in Syngenta (NYSE: SYT), said Tuesday, 470 Swiss francs per share is a good price and we would tender our shares at this level, according to Reuters. On Monday, Bloomberg reported that Monsanto had increased its offer to acquire Syngenta from CHF 449 per share to CHF 470 per share, according to sources.Syngenta fell 4% Tuesday, closing at $78.09.Encana to Sell Its Haynesville Natural Gas Assets for $850M",8/25/2015 19:08:00,"Benzinga's M&A Chatter for Tuesday, August 25, 2015",The Deal:,,,,,,,,,,
jg68,2,"Encana Corporation (NYSE: ECA) announced Monday, that its subsidiary, Encana Oil & Gas (USA) Inc., has reached an agreement to sell its Haynesville natural gas assets in northern Louisiana, to GEP Haynesville, LLC for $850 million in cash. The sale is expected to close in Q4 of 2015.Encana shares rose 2.74% Tuesday, closing at $5.99.Heartland Food Products to Acquire Splenda Brand from Johnson & Johnson",8/25/2015 19:08:00,"Benzinga's M&A Chatter for Tuesday, August 25, 2015",The Deal:,,,,,,,,,,
jg68,3,"Heartland Food Products Group announced Tuesday, it has entered into a definitive agreement to acquire the Splenda low calorie sweetener brand from McNeil Nutritionals, LLC, a subsidiary of Johnson & Johnson Consumer Inc. (NYSE: JNJ). The financial terms of the transaction have not been disclosed.JNJ fell 2.25% Tuesday, closing at $90.73.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/25/2015 19:08:00,"Benzinga's M&A Chatter for Tuesday, August 25, 2015",The Deal:,,,,,,,,,,
GU12,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Monday August 24, 2015:Xerox to Acquire RSA Medical",8/24/2015 18:44:00,"Benzinga's M&A Chatter for Monday August 24, 2015",NA,,,,,,,,,,
GU12,1,"Xerox (NYSE: XRX) announced Monday, an agreement to acquire RSA Medical. Terms were not disclosed.The transaction is expected to close in Q3 of 2015.Xerox closed at $9.93 on Monday, down 7%.Southern Company Acquires AGL Resources for ~$12B",8/24/2015 18:44:00,"Benzinga's M&A Chatter for Monday August 24, 2015",The Deal:,,,,,,,,,,
GU12,2,"Southern Company (NYSE: SO) and AGL Resources (NYSE: GAS) announced Monday, that both companies' boards of directors approved a definitive merger agreement. AGL Resources will become a wholly owned subsidiary of Southern Company in a transaction with an enterprise value of approximately $12 billion, with a total equity value of approximately $8 billion. AGL Resources shareholders will receive $66 per share in cash.The deal is expected to close in H2 of 2016.AGL Resources closed Monday at $61.41 Monday, a gain of 28%.Medivation to Acquire Worldwide Rights to Talazoparib from BioMarin for $410M Upfront",8/24/2015 18:44:00,"Benzinga's M&A Chatter for Monday August 24, 2015",The Deal:,,,,,,,,,,
GU12,3,"Medivation, Inc. (NASDAQ: MDVN) and BioMarin Pharmaceutical Inc. (NASDAQ: BMRN) announced Monday, that Medivation will acquire all worldwide rights to talazoparib, a highly-potent, orally-available poly ADP ribose polymerase inhibitor currently in a Phase 3 study for the treatment of patients with deleterious germline BRCA 1 or BRCA 2 mutations and locally advanced and/or metastatic breast cancer. Medivation will pay BioMarin $410 million upfront, up to an additional $160 million upon the achievement of regulatory and sales-based milestones and mid-single digit royalties for talazoparib.BioMarin shares fell 5% Monday, closing at $119.68.Monsanto Raises Offer for Syngenta to CHF470/Share, According to Sources",8/24/2015 18:44:00,"Benzinga's M&A Chatter for Monday August 24, 2015",The Deal:,,,,,,,,,,
GU12,4,"Monsanto Co (NYSE: MON) has increased its offer to acquire Syngenta AG (NYSE: SYT) from CHF 449 per share to CHF 470 per share, according to sources as reported by Bloomberg on Monday. That would value Syngenta at $47 billion. The Wall Street Journal had reported earlier in the day that Syngenta's Board was under pressure to consider a Monsanto offer.A Syngenta representative did not immediately respond to a request for comment, A Monsanto representative declined comment.Syngenta rose 6% Monday, closing at $81.37.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/24/2015 18:44:00,"Benzinga's M&A Chatter for Monday August 24, 2015",The Rumor:,SYT,,MON,,,,,,,
WC09,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Friday August 21 through Sunday August 23, 2015:Steiner Leisure to be Acquired by Catterton for $65/Share in Cash",8/23/2015 20:17:00,Benzinga's Weekend M&A Chatter,NA,,,,,,,,,,
WC09,1,"Steiner Leisure Limited (NASDAQ: STNR) announced Friday, that an affiliate of Catterton will acquire all of the outstanding shares of Steiner Leisure for $65 per share in cash. The deal is expected to close in the Q4 of 2015 or early 2016.Steiner Leisure closed at $64.78 on Friday, up 14.5%.Vitol Investment Partnership to Acquire MISC's 50% Stake in Vitol for $830M",8/23/2015 20:17:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
WC09,2,"VTTI Energy Partners LP (NYSE: VTTI) has been informed that Vitol Investment Partnership, an investment vehicle sponsored and managed by Vitol, has agreed to acquire MISC Berhad's 50% shareholding in VTTI BV, which owns the general partner of VTTI Energy Partners, for cash consideration of $830 million. Vitol already owns 50% of VTTI BV, which will continue to be run as an independent, standalone company under CEO Rob Nijst.VTTI Energy Partners closed Friday at $20.52 Friday, a loss of almost 4%.TreeHouse Said to be in talks to Acquire ConAgra's Private-label Food Unit for ~$3B",8/23/2015 20:17:00,Benzinga's Weekend M&A Chatter,The Deal:,,,,,,,,,,
WC09,3,"TreeHouse Foods (NYSE: THS) is in talks to buy ConAgra's private-label Ralcorp food business for around $3 billion, according to sources, as reported by the NY Post. The rumor was first reported by Reuters on July 28.Other firms looking at Ralcorp, include Cerberus Capital Management and Post Holdings (NYSE: POST), said the sources. TreeHouse Foods shares fell $0.52 Friday, closing at $75.62.Posted-In: News Rumors M&A Movers© 2015 Benzinga.com. Benzinga does not provide investment advice. All rights reserved.",8/23/2015 20:17:00,Benzinga's Weekend M&A Chatter,The Rumor:,,,POST,,,,,,,
Ze51,0,"The following are the M&A deals, rumors and chatter circulating on Wall Street for Thursday August 20, 2015:United Technologies is in Talks to Acquire Nortek, According to Sources",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",NA,,,,,,,,,,
Ze51,1,"Shares of Nortek Inc. (NYSE: NTK) spiked higher Thursday following a Wall Street Journal report that United Technologies Corporation (NYSE: UTX) was in talks to acquire the Providence, RI-based manufacturer of products for remodeling and replacement and residential and commercial new construction.Spokespersons for the companies did not respond to requests for comment.Nortek closed at $86.78 on Thursday, up 17%.Hearing Unconfirmed Market Chatter Anadarko Petroleum has Hired Goldman Sachs After Being Approached by Exxon With $86/Share Offer",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",The Rumor:,NTK,,UTX,,,,,,,
Ze51,2,"Shares of Anadarko Petroleum Corporation (NYSE: APC) rose Thursday, on unconfirmed market chatter that the company has been approached by Exxon Mobil Corporation (NYSE: XOM) with an $86.00 per share offer. The Woodlands, TX-based oil & gas company is said to have hired Goldman Sachs as an advisor to assist in the sale process. In July, a similar rumor surfaced, with a potential offer of up to $90.00 per share.Anadarko closed at $71.05 Thursday, a loss of almost 2%.Oracle Acquires Maxymiser; Terms Not Disclosed",8/20/2015 19:07:00,"Benzinga's M&A Chatter for Thursday August 20, 2015",The Rumor:,APC,,XOM,,,,,,,
